name,department,office,email,research_interests
Dongyoung Roh,사이버국방학과,충105A,,
CHOI NAG JUNG,사이버국방학과,센B105,,
Minchae Jung,Department of Intelligent Inte,,,
Hakpyeong Kim,Architectural Engineering,충101A,,
Seunghye Lee,Architectural Engineering,충516,,
"Choi, Anseop",Architectural Engineering,충101A,,
"Lee, Jaehong",Architectural Engineering,충101A,,
Yun Su-In,Architectural Engineering,충101A,,
KIM HYUNKI,Architectural Engineering,충516,,
"Lee, Jaewook",Architectural Engineering,광209,,
"An, Yun-Kyu",Architectural Engineering,충101A,,
"Sung, Minki",Architectural Engineering,충101A,,
"Lee, Kihak",Architectural Engineering,충101A,,
"Jeong, Kwangbok",Architectural Engineering,충516,,
"Lee, Dongkyu",Architectural Engineering,충101A,,
Shin Hojeon,Architectural Engineering,충516,,
Bongchan Jeong,Department of Architecture,율201,,
Yoon-jeong Shin,Department of Architecture,충206,,
JIN,Department of Architecture,충207,,
Hong Hyojung,Department of Architecture,충208,,
"Jang Eun, Cho",Department of Architecture,충209,,
Soojeong Kwon,Department of Architecture,충210,,
Seoug Oh,Department of Architecture,충223,,
Jangdo Ki,Department of Architecture,충227,,
Jang Seo Yun,Department of Architecture,충220,,
YUJIN PARK,Department of Architecture,충221,,
"Kim, Han Soo",Department of Architecture,율201,,
"KIM,Min Joung",Department of Architecture,광210,,
Tae Hyuk Kim,Department of Architecture,충516,,
Dong Hyun Kim,Department of Architecture,율202,,
JAE LEE,Department of Architecture,율204,,
LEE WON BONG,Department of Architecture,율205,,
LEE GAYOON,Department of Architecture,율201,,
Joonbeum Kwun,Department of Architecture,율206,,
HYUNWOO CHUNG,Department of Architecture,율207,,
KIM JAEHYEON,Department of Architecture,율208,,
SANG DAE JUNG,Department of Architecture,세202,,
"Kim, Young Ook",Department of Architecture,율201,,
"Lee, Chang Hoon",Civil and Environmental Engineering,광102,,
"Jin, Seung-Seop",Civil and Environmental Engineering,광102,,
"Song, Ji Hyeon",Civil and Environmental Engineering,광102,,
"Kwon,Hyun-Han",Civil and Environmental Engineering,광102,,
"Kim, Jong Min",Civil and Environmental Engineering,광102,,
Jang Daeik,Civil and Environmental Engineering,광102,,
Jungho Kim,Civil and Environmental Engineering,율201,,
Tae-Suk Bae,Civil and Environmental Engineering,광210,,
Sang Yeob Kim,Civil and Environmental Engineering,율201,,
"Lee, Jong-Jae",Civil and Environmental Engineering,충1108,,
"Lee,Hyun-jong",Civil and Environmental Engineering,영510,,
"Suk Jong, Yi",Civil and Environmental Engineering,충1108,,
Junsung Noh,"Environment, Energy and Geoinformatics",영510,,
Jeong Jeehoon,"Environment, Energy and Geoinformatics",영510,,
JEONG SEULKI,"Environment, Energy and Geoinformatics",영510,,
Lee Yunkyung,"Environment, Energy and Geoinformatics",영510,,
"Hur, Jin","Environment, Energy and Geoinformatics",영510,,
Sungwook Hong,"Environment, Energy and Geoinformatics",영510,,
Young Su Lee,"Environment, Energy and Geoinformatics",영510,,
"Park, Jun-Young",Department of Nano Technology and Advanced Materials Engineering,충101,,
Hee Jo Song,Department of Nano Technology and Advanced Materials Engineering,충102,,
"Kim,Sun Jae",Department of Nano Technology and Advanced Materials Engineering,이205,,
"Kim, Tae Wan",Department of Nano Technology and Advanced Materials Engineering,집503,,
Naesung Lee,Department of Nano Technology and Advanced Materials Engineering,광109,,
"Choi, Taekjib",Department of Nano Technology and Advanced Materials Engineering,광109,,
"Lee,Won-hee",Department of Nano Technology and Advanced Materials Engineering,호103,,
Dongki Lee,Department of Nano Technology and Advanced Materials Engineering,집503,,
Yongho Seo,Department of Nano Technology and Advanced Materials Engineering,호103,,
"Park, Kyeong Soon",Department of Nano Technology and Advanced Materials Engineering,충102,,
Sung Chul Hong,Department of Nano Technology and Advanced Materials Engineering,호103,,
Young-Soo Seo,Department of Nano Technology and Advanced Materials Engineering,호103,,
Ki Buem Kim,Department of Nano Technology and Advanced Materials Engineering,충410,,
Seung-Taek Myung,Department of Nano Technology and Advanced Materials Engineering,충410,,
Bomi GWEON,Mechanical Engineering,광209,,
Kunsik An,Mechanical Engineering,충106,,
"Jang, Gang-Won",Mechanical Engineering,군319,,
"Shin, Young Gy",Mechanical Engineering,광209,,
"Jun,Yong-tae",Mechanical Engineering,충1007,,
"Sohn, Chae Hoon",Mechanical Engineering,충106,,
"Chung, Jae-dong",Mechanical Engineering,충106,,
"Lee, Min Hyung",Mechanical Engineering,충106,,
Gwak kwan-woong,Mechanical Engineering,광109,,
Jinwoo Son,Mechanical Engineering,충1007,,
Kim Sang Wan,Engineering Energy Resources and Geosystems Engineering,충1102B,,
"Park, Hyuck Jin",Engineering Energy Resources and Geosystems Engineering,충1111,,
"Jung, Myung Chae",Engineering Energy Resources and Geosystems Engineering,광210,,
Yeon-Gun Lee,Department of Engineering Quantum and Nuclear Engineering,광101,,
"Lim, Kyung Taek",Department of Engineering Quantum and Nuclear Engineering,광101,,
"Jung, Woo Sik",Department of Engineering Quantum and Nuclear Engineering,광101,,
NGUYEN HUU TIEP,Department of Engineering Quantum and Nuclear Engineering,광101,,
"Park, Chang Je",Department of Engineering Quantum and Nuclear Engineering,광101,,
HONG SEOKPYO,Department of Engineering Quantum and Nuclear Engineering,광101,,
"Park, Moon-Ghu",Department of Engineering Quantum and Nuclear Engineering,광101,,
SHIM HANSEUL,Aerospace Engineering,군106,,
"Lee, Kyun Ho",Aerospace Engineering,군106,,
"KIM, O-Jong",Aerospace Engineering,충B107,,
Seung-Hoon Kang,Aerospace Engineering,충1108,,
"Park,Sungsu",Aerospace Engineering,충106,,
Hojun You,Aerospace Engineering,군106,,
"Hong, Sung Kyung",Aerospace Engineering,광1020,,
Jung Hyun Kim,Aerospace Engineering,광209,,
"Kim, Haedong",Aerospace Engineering,광712,,
"Ahn,Jon",Aerospace Engineering,광714/광713,,
"Kim, Jaegang",,광828,,
PETHA SETHURAMAN Vignesh Ram,,광828,,
"Lee, Soung Sub",,광105,,
Do Wan Kim,Defence System Engineering,광103,,
Geunhwan Kim,Defence System Engineering,광1020,,
YU GeunJong,Defence System Engineering,광103,,
"Yoon, Yeo-Sun",Defence System Engineering,광103,,
"KIM, EUNHEE",Defence System Engineering,광103,,
Jonghoek Kim,Defence System Engineering,광1020,,
Keun-Hwa Lee,Defence System Engineering,광1020,,
Hyesook Kim,Painting,진301,,
Park Chunhwa,Painting,진301,,
Lee.Kang-hwa,Painting,진301,,
Kwon Louise,Painting,진301,,
KWONBONGKYUN,Painting,진301,,
LIM Geun-jun,Painting,진402,,
Park Jungsun,Painting,진204,,
kim yoosung,Painting,진204,,
"Jung, Jae Ho",Painting,진102,,
LEE YOUNG EUN,Painting,진204,,
Chang Junegu,Painting,진402,,
kim Taeyoon,Painting,진305,,
SOUSOU KIM,Painting,진403,,
GYEONHMIN RO,Painting,진101,,
Sojung Lee,Painting,진101,,
Hyerin Ryu,Painting,진305,,
Eunsil Kho,Painting,진402,,
Kwon Oyeol,Painting,진402,,
SONG Eunyoung,Painting,진202,,
최지영,Fashion Design,군215,,
JI HYEON JEONG,Fashion Design,군219,,
Kim Hyunwook,Fashion Design,군318,,
Hye Ree Han,Fashion Design,군318,,
KIM EON JEONG,Fashion Design,군211,,
HAN WOOLEE,Fashion Design,군211,,
HyeHyeonPark,Music,진712,,
"Nah, Sirin",Music,새101C,,
"Lee, Ki Choung",Music,대양홀강당,,
han jaeyeung,Music,학대공연장,,
Byoungwhie Chung,Music,대B04,,
Yang Minkyung,Music,진712,,
Sung Wook Jung,Music,대B04,,
Seo seunghyun,Music,대B04,,
Kim O Jim,Music,대B04,,
Kim Hyungseon,Music,대B02,,
Yeon-Kyoung Ko,Music,대B02,,
Youngjoo Lee,Music,새B218,,
Eunhye Kim,Music,진712,,
Jiyoon Nho,Music,대531,,
HWANG MISEON,Music,새B205,,
Joo Hyung Han,Music,진711,,
Ham Kyu hun,Music,새B205,,
JEON JOOHEE,Music,새B206,,
"Kim,Sunghyun",Music,새B221,,
Seongdeok Cho,Music,새B206,,
Jeeyoung Park,Music,진711,,
Shin Hye Seung,Music,진712,,
Kim Ji Hyun,Music,진711,,
Inha Kim,Music,진711,,
Jang Cheol,Music,새B206,,
Minchul Shin,Music,새B206,,
Kim Jinsu,Physical Education,용101,,
"Kang,Yu-won",Physical Education,용103,,
SON HYUKJUN,Physical Education,용102,,
"Kim, Byung-Min",Physical Education,,,
Kim Seong Eon,Physical Education,용109,,
leedongha,Dance,용202,,
Min Woo Kang,Dance,용302,,
Da Jeong Sa Gong,Dance,용302,,
JUNG KYEONG WON,Dance,용301,,
kim hee jin,Dance,용301,,
lee juyeon,Dance,용301,,
KYOUNGRIM KIM,Dance,용201,,
Kang Jin Ju,Dance,세201,,
Choi Doo-Young,Film Art,광1212,,
"LEE, JUNEYEOB",Film Art,광1212,,
"Park, Chul",Film Art,광1212,,
PARK SUKYOUNG,Film Art,광1213,,
JO JEONG MIN,Film Art,광1207,,
"Ra,Kyung-min",Film Art,충B101,,
HONG BAE YEON,Film Art,센B222,,
Kim KyoungWook,Film Art,광1212,,
Han Wheesoo,Film Art,광1213,,
Bae sujin,Film Art,광1207,,
Lee Eun Hyung,Film Art,광1213,,
Kwon seol-ah,Film Art,광1223,,
SEONYEON JANG,Film Art,광1213,,
Jongchae Sohn,Film Art,광1217,,
Kim Jun Sam,Film Art,센B222,,
Moon Deokyun,Law Law,광110,,
Kim Woojin,Law Law,집302,,
Lee Hyewon,Moving Image Design,군311,,
"Chung, Juyoun",Moving Image Design,군311,,
park eun seok,Moving Image Design,군311,,
HWAJUNGLEE,Culture Industry Management,군312,,
Lee Youjung,Luxury Brand Design,군312,,
Seungkeol Woo,Luxury Brand Design,군212,,
Chunwoo Nam,Luxury Brand Design,군212,,
Kim Eun kyeong,New Media Performance,군414,,
Park Ji Hye,Art&Technology in Global Media Software,집502,,
Beomseok Heo,Convergence Startup,광713,,
Jinsuk Che,Entertainment Software,군318,,
"Kang, Deuk-mo",,광103,,
jihyun ROH,SIC,세101,,
XU WENXIA,SIC,세102,,
Park Jihyun,SIC,세103,,
Jeong YeongGyo,SIC,세108,,
JUNG WOONGYU,SIC,세109,,
Lee  Hyunjoo,SIC,세101,,
Yang Yoon-shil,SIC,세108,,
Kang hyunjin,SIC,세109,,
shin eunok,SIC,세204,,
Kim Seohyung,SIC,세206,,
Boeui Woo,SIC,세109,,
Jung Eunjoo,SIC,세204,,
LEE JUNEON,SIC,세203,,
LEE YUNDEOK,SIC,세109,,
Lee Seo Hyun,SIC,세109,,
Kim Sang Ah,SIC,세204,,
Jang Hyunmuk,SIC,,,
Jeeyoung Shin,SIC,광1120B,,
KYU WON HAN,SIC,센B116,,
JUNG JIWON,SIC,새실기실,,
Yoo Hyun Jo,Department of Culinary Service,광205,,
Lee In-lee,Department of Culinary Service,광205,,
